seed,difficulty_gap,budget_frac,method,mean_irr,std_irr,b_rho,selected_w
1,1.0,0.3,fisher,0.0596712253519745,0.024174383952181976,0.48638524906792124,-3.0
1,1.0,0.3,adirt,0.06554065443158621,0.0314911239850911,0.48638524906792124,-3.0
1,1.0,0.5,uniform,0.08814647347643995,0.027772218816377384,0.48638524906792124,-3.0
1,1.0,0.5,recency,0.08179950228034674,0.02771500302313133,0.48638524906792124,-3.0
1,1.0,0.5,topk,0.07070771954138338,0.028362574324569303,0.48638524906792124,-3.0
1,1.0,0.5,fisher,0.07478847684598894,0.02946736145288169,0.48638524906792124,-3.0
1,1.0,0.5,adirt,0.08546310710188627,0.03790697072480782,0.48638524906792124,-3.0
1,1.0,0.7,uniform,0.10584628594671161,0.03189733901059433,0.48638524906792124,-3.0
1,1.0,0.7,recency,0.0960186669997501,0.03329096754435025,0.48638524906792124,-3.0
1,1.0,0.7,topk,0.09114054513843364,0.034339924261291205,0.48638524906792124,-3.0
1,1.0,0.7,fisher,0.08930391783078015,0.03859380518038564,0.48638524906792124,-3.0
1,1.0,0.7,adirt,0.10099670261511498,0.0421017107484129,0.48638524906792124,-3.0
1,2.0,0.1,uniform,0.10036219888890555,0.05821679183275746,0.6825540692450921,0.0
1,2.0,0.1,recency,0.07248390697437344,0.034100466078649916,0.6825540692450921,0.0
1,2.0,0.1,topk,0.052055641365522765,0.040133489924716374,0.6825540692450921,0.0
1,2.0,0.1,fisher,0.08812456097446887,0.06340207064972835,0.6825540692450921,0.0
1,2.0,0.1,adirt,0.07169352100613982,0.05238654551528373,0.6825540692450921,0.0
1,2.0,0.2,uniform,0.14925920556811065,0.06788128843544264,0.6825540692450921,0.0
1,2.0,0.2,recency,0.1486261362721496,0.0679373943456049,0.6825540692450921,0.0
1,2.0,0.2,topk,0.0812116445298793,0.051346495942856285,0.6825540692450921,0.0
1,2.0,0.2,fisher,0.15806841674639427,0.07974386470099304,0.6825540692450921,0.0
1,2.0,0.2,adirt,0.14342663188941066,0.06652353359690466,0.6825540692450921,0.0
1,2.0,0.3,uniform,0.18209747529894355,0.07473693202532726,0.6825540692450921,0.0
1,2.0,0.3,recency,0.17030070299161534,0.06537552963069237,0.6825540692450921,0.0
1,2.0,0.3,topk,0.10487723338131746,0.06242032570486927,0.6825540692450921,0.0
1,2.0,0.3,fisher,0.1759825371550164,0.07980000290671002,0.6825540692450921,0.0
1,2.0,0.3,adirt,0.16714907052697087,0.06788179028554384,0.6825540692450921,0.0
1,2.0,0.5,uniform,0.20723908889020878,0.07966213595405194,0.6825540692450921,0.0
1,2.0,0.5,recency,0.2005051089013076,0.07629444431562443,0.6825540692450921,0.0
1,2.0,0.5,topk,0.15613715446284843,0.07509523514464689,0.6825540692450921,0.0
1,2.0,0.5,fisher,0.19646789627118702,0.0827040133399967,0.6825540692450921,0.0
1,2.0,0.5,adirt,0.20532550271030386,0.07666855720790454,0.6825540692450921,0.0
1,2.0,0.7,uniform,0.22876694764063005,0.08187759859038603,0.6825540692450921,0.0
1,2.0,0.7,recency,0.21716494882520782,0.08037289162669677,0.6825540692450921,0.0
